"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","myhost1",,,,"User:","myuser1"
"Cmdline:","dstat -t -cdns --tcp --nocolor --noheaders --noupdate --output=/tmp/dstat.csv 60",,,,"Date:","31 Jan 2019 14:44:21 EST"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","free","lis","act","syn","tim","clo"
31-01 14:44:21,0.247,0.020,99.730,0.000,0.0,0.004,1046.665,36607.595,0.0,0.0,0.0,74837913600.0,18.0,221.0,0.0,12.0,0.0
31-01 14:45:21,1.810,0.142,98.000,0.000,0.0,0.047,0.0,16520.533,41001069.650,39000197.983,0.0,74837913600.0,18.0,225.0,0.0,0.0,0.0
31-01 14:46:21,1.776,0.143,98.035,0.001,0.0,0.046,0.0,20480.0,40600047.067,38672545.117,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 14:47:21,1.815,0.143,97.994,0.001,0.0,0.046,0.0,12083.200,40969422.183,39019590.950,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 14:48:21,1.786,0.142,98.023,0.002,0.0,0.046,0.0,11878.400,40906757.467,38918692.067,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 14:49:21,1.825,0.142,97.987,0.001,0.0,0.045,0.0,12629.333,41101951.367,39083005.183,0.0,74837913600.0,18.0,221.0,0.0,8.0,0.0
31-01 14:50:21,1.815,0.141,97.997,0.001,0.0,0.046,0.0,13585.067,40938370.683,39141903.867,0.0,74837913600.0,18.0,222.0,0.0,0.0,0.0
31-01 14:51:21,1.806,0.142,98.004,0.001,0.0,0.047,0.0,15837.867,40805119.867,38821084.917,0.0,74837913600.0,18.0,222.0,0.0,0.0,0.0
31-01 14:52:21,1.809,0.143,98.001,0.001,0.0,0.046,0.0,13380.267,40861095.967,38923313.750,0.0,74837913600.0,18.0,222.0,0.0,0.0,0.0
31-01 14:53:21,1.832,0.143,97.977,0.002,0.0,0.046,0.0,12561.067,41047922.633,39130140.550,0.0,74837913600.0,18.0,219.0,0.0,5.0,0.0
31-01 14:54:21,1.792,0.141,98.018,0.001,0.0,0.047,0.0,14199.467,40949804.050,38995769.200,0.0,74837913600.0,18.0,224.0,0.0,5.0,0.0
31-01 14:55:21,1.842,0.145,97.966,0.001,0.0,0.046,0.0,23893.333,40907631.333,38959502.633,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 14:56:21,1.832,0.143,97.978,0.001,0.0,0.046,0.0,26487.467,40930992.150,39558268.967,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 14:57:21,1.804,0.140,98.009,0.001,0.0,0.045,0.0,20548.267,40911774.733,39117872.017,0.0,74837913600.0,18.0,224.0,0.0,0.0,0.0
31-01 14:58:21,1.801,0.140,98.010,0.001,0.0,0.047,0.0,21913.600,41219508.483,39296895.883,0.0,74837913600.0,18.0,219.0,0.0,9.0,0.0
31-01 14:59:21,1.829,0.141,97.981,0.002,0.0,0.047,0.0,12219.733,40949912.733,38995953.633,0.0,74837913600.0,18.0,223.0,0.0,0.0,0.0
